PERFORMANCE ANALYSIS SUMMARY (CUDA)

Nodes      Execution Time (ms)       Top Hotspot (%)     
1          1.1                          0.00                
5          1.22                         0.00                
10         1.34                         0.00                
20         1.18                         0.00                
50         1.81446                      0.00                
100        1.76208                      0.00                
200        1.75923                      0.00                
300        1.95312                      0.00                
500        2.04281                      0.00                
1000       4.04096                      0.00                
2000       4.91814                      100.00              
3000       6.39664                      50.00               
4000       8.3321                       100.00              
5000       10.5523                      66.67               
6000       11.8497                      55.56               
7000       15.3384                      55.56               
8000       17.9384                      66.67               
9000       19.5683                      50.00               
10000      21.4364                      58.33      
